Name of the bridge,Earthquake,x1 = Material Type,x2 = Age (yr),x3 = Bridge Type,x4 = Earthquake Magnitude,x5 = Distance to epicenter (miles),y1 = Damaged or not?,y2 = Damage Level,,,,,,
"San Francisco-Oakland Bay Bridge, 1936 ","1989, Loma Prieta",I,53,III,6.9,59.9,1,III,,,,,,
San Francisco-Oakland Bay Bridge,Northern California,I,57,III,4.7,50,0,I,,,,,,
San Francisco-Oakland Bay Bridge,Bay Area,I,67,III,4,6.9,0,I,,,,,,
San Francisco-Oakland Bay Bridge,1km N of Piedmont,I,79,III,4,6.3,0,I,,,,,,
San Francisco-Oakland Bay Bridge,2km SE of Berkeley,I,82,III,4.4,5.4,0,I,,,,,,
San Francisco-Oakland Bay Bridge,3km SE of Piedmont,I,80,III,3.5,8.1,0,I,,,,,,
San Francisco-Oakland Bay Bridge,Bay Area,I,75,III,3.6,5.7,0,I,,,,,,
San Francisco-Oakland Bay Bridge,Bay Area,I,75,III,3.8,5.6,0,I,,,,,,
San Francisco-Oakland Bay Bridge,Bay Area,I,71,III,4.2,13.8,0,I,,,,,,
San Francisco-Oakland Bay Bridge,Bay Area,I,50,III,4.1,8.8,0,I,,,,,,
San Francisco-Oakland Bay Bridge,Bay Area,I,48,III,4.3,13.3,0,I,,,,,,
San Francisco-Oakland Bay Bridge,Bay Area,I,44,III,5.8,29,0,I,,,,,,
San Francisco-Oakland Bay Bridge,Offshore Northern California,I,21,III,5.7,32,0,I,,,,,,
"Interstate 5 (Golden State Freeway), Gavin Canyon, 1947","1994, Northridge",II,15,I,6.7,11.1,1,III,,,,,,
"Interstate 5 (Golden State Freeway), Gavin Canyon",5km NNW of Chatsworth,II,60,I,4.7,5.8,0,I,,,,,,
"Interstate 5 (Golden State Freeway), Gavin Canyon",3km E of Pacoima,II,54,I,4.3,10.4,0,I,,,,,,
"Interstate 5 (Golden State Freeway), Gavin Canyon",11km SW of Valencia,II,50,I,4.9,3.2,0,I,,,,,,
"Interstate 5 (Golden State Freeway), Gavin Canyon",12km ESE of Piru,II,50,I,5.1,20.2,0,I,,,,,,
"Interstate 5 (Golden State Freeway), Gavin Canyon",11km SW of Valencia,II,48,I,5,5.5,0,I,,,,,,
"Interstate 5 (Golden State Freeway), Gavin Canyon",6km NNE of Chatsworth,II,47,I,5.1,5.4,0,I,,,,,,
"Interstate 5 (Golden State Freeway), Gavin Canyon",10km SSW of Valencia,II,47,I,5.1,3.7,0,I,,,,,,
"Interstate 5 (Golden State Freeway), Gavin Canyon",3km NNE of Granada Hills,II,24,I,4.2,6.1,0,I,,,,,,
"Interstate 5 (Golden State Freeway), Gavin Canyon",1km S of San Fernando,II,17,I,3.8,9.5,0,I,,,,,,
"Interstate 10 (over La Cienega Boulevard), 1957","1994, Northridge",II,37,I,6.7,15.2,1,III,,,,,,
Interstate 10 (over La Cienega Boulevard),2km ESE of Lennox,II,62,I,4,7.6,0,I,,,,,,
Interstate 10 (over La Cienega Boulevard),3km WNW of Panorama,II,47,I,5.2,14.5,0,I,,,,,,
Interstate 10 (over La Cienega Boulevard),4km WSW of Northridge,II,47,I,4.6,17.3,0,I,,,,,,
Interstate 10 (over La Cienega Boulevard),1km NNW of Reseda,II,47,I,6.7,15.2,0,I,,,,,,
Interstate 10 (over La Cienega Boulevard),1km WSW of East LA,II,42,I,4.8,11.5,0,I,,,,,,
