,name,equake_near,material type,age of bridge,bridge type,magnitude,d to epicenter in miles,damaged,Damage level
0,"San Francisco-Oakland Bay Bridge, 1936 ","1989, Loma Prieta",1,53,3,6.9,59.9,1,3
1,San Francisco-Oakland Bay Bridge,Northern California,1,57,3,4.7,50.0,0,1
2,San Francisco-Oakland Bay Bridge,Bay Area,1,67,3,4.0,6.9,0,1
3,San Francisco-Oakland Bay Bridge,1km N of Piedmont,1,79,3,4.0,6.3,0,1
4,San Francisco-Oakland Bay Bridge,2km SE of Berkeley,1,82,3,4.4,5.4,0,1
5,San Francisco-Oakland Bay Bridge,3km SE of Piedmont,1,80,3,3.5,8.1,0,1
6,San Francisco-Oakland Bay Bridge,Bay Area,1,75,3,3.6,5.7,0,1
7,San Francisco-Oakland Bay Bridge,Bay Area,1,75,3,3.8,5.6,0,1
8,San Francisco-Oakland Bay Bridge,Bay Area,1,71,3,4.2,13.8,0,1
9,San Francisco-Oakland Bay Bridge,Bay Area,1,50,3,4.1,8.8,0,1
10,San Francisco-Oakland Bay Bridge,Bay Area,1,48,3,4.3,13.3,0,1
11,San Francisco-Oakland Bay Bridge,Bay Area,1,44,3,5.8,29.0,0,1
12,San Francisco-Oakland Bay Bridge,Offshore Northern California,1,21,3,5.7,32.0,0,1
13,"Interstate 5 (Golden State Freeway), Gavin Canyon, 1947","1994, Northridge",2,15,1,6.7,11.1,1,3
14,"Interstate 5 (Golden State Freeway), Gavin Canyon",5km NNW of Chatsworth,2,60,1,4.7,5.8,0,1
15,"Interstate 5 (Golden State Freeway), Gavin Canyon",3km E of Pacoima,2,54,1,4.3,10.4,0,1
16,"Interstate 5 (Golden State Freeway), Gavin Canyon",11km SW of Valencia,2,50,1,4.9,3.2,0,1
17,"Interstate 5 (Golden State Freeway), Gavin Canyon",12km ESE of Piru,2,50,1,5.1,20.2,0,1
18,"Interstate 5 (Golden State Freeway), Gavin Canyon",11km SW of Valencia,2,48,1,5.0,5.5,0,1
19,"Interstate 5 (Golden State Freeway), Gavin Canyon",6km NNE of Chatsworth,2,47,1,5.1,5.4,0,1
20,"Interstate 5 (Golden State Freeway), Gavin Canyon",10km SSW of Valencia,2,47,1,5.1,3.7,0,1
21,"Interstate 5 (Golden State Freeway), Gavin Canyon",3km NNE of Granada Hills,2,24,1,4.2,6.1,0,1
22,"Interstate 5 (Golden State Freeway), Gavin Canyon",1km S of San Fernando,2,17,1,3.8,9.5,0,1
23,"Interstate 10 (over La Cienega Boulevard), 1957","1994, Northridge",2,37,1,6.7,15.2,1,3
24,Interstate 10 (over La Cienega Boulevard),2km ESE of Lennox,2,62,1,4.0,7.6,0,1
25,Interstate 10 (over La Cienega Boulevard),3km WNW of Panorama,2,47,1,5.2,14.5,0,1
26,Interstate 10 (over La Cienega Boulevard),4km WSW of Northridge,2,47,1,4.6,17.3,0,1
27,Interstate 10 (over La Cienega Boulevard),1km NNW of Reseda,2,47,1,6.7,15.2,0,1
28,Interstate 10 (over La Cienega Boulevard),1km WSW of East LA,2,42,1,4.8,11.5,0,1
29,Interstate 10 (over La Cienega Boulevard),2km SSW of Rosemead,2,40,1,5.9,17.2,0,1
30,Interstate 10 (over La Cienega Boulevard),4km SW of Lake View,2,24,1,4.6,14.3,0,1
31,Interstate 10 (over La Cienega Boulevard),1km S of San Fernando,2,17,1,3.8,16.7,0,1
32,Interstate 10 (over La Cienega Boulevard),1km ENE of Lennox,2,16,1,3.5,7.0,0,1
33,"Interstate 405 (over Jefferson Boulevard), 1964","1994, Northridge",2,30,1,6.7,17.5,1,2
34,Interstate 405 (over Jefferson Boulevard),5km NW of Westwood,2,53,1,3.6,8.0,0,1
35,Interstate 405 (over Jefferson Boulevard),2km NE of Pico Rivera,2,46,1,4.4,18.1,0,1
36,Interstate 405 (over Jefferson Boulevard),3km WNW of Panorama,2,30,1,5.2,17.4,0,1
